Milk Yield,Protein Percentage,Lactation days
23,3.42,78
41,3.51,107
39,3.51,78
44,3.31,94
39,3.51,119
34,3.31,108
36,3.26,110
35,3.46,127
42,3.36,93
35,3.39,77
31,3.88,141
30,3.57,140
21,3.55,132
38,3.07,97
41,3.58,114
37,3.52,124
34,3.45,97
31,3.58,138
32,3.51,84
34,3.38,94
15,3.31,118
30,3.38,115
42,3.79,143
35,3.57,129
24,3.44,141
33,3.53,106
38,3.54,93
32,3.51,139
45,3.47,111
39,3.54,104
35,3.26,134
39,3.79,140
40,3.38,101
32,3.28,94
40,3.57,90
29,3.54,112
29,3.53,104
33,3.45,85
16,3.36,75
32,3.47,126
38,3.56,133
47,3.31,89
41,3.79,90
38,3.55,138
21,3.6,137
21,3.54,114
38,3.49,135
31,3.48,90
37,3.33,78
38,3.56,106
29,3.54,138
40,3.41,123
40,3.54,108
31,3.04,102
40,3.22,135
32,3.48,125
39,3.15,115
33,3.3,139
37,3.43,79
40,3.51,134
39,3.51,90
41,3.28,93
45,3.47,140
39,3.58,89
46,3.5,125
34,3.6,89
40,3.52,104
29,3.06,94
36,4.44,133
32,3.4,75
37,3.56,115
40,3.29,130
35,2.98,143
21,3.54,78
43,3.29,80
36,3.18,129
46,3.54,89
41,3.44,98
30,3.43,101
42,3.87,90
28,3.52,119
41,3.41,108
32,3.57,129
43,3.58,110
36,3.55,80
27,3.42,96
34,3.31,77
32,3.54,109
26,3.22,102
54,3.75,115
23,3.32,121
41,3.54,123
38,3.28,87
31,3.4,88
43,3.06,97
33,3.23,99
38,2.99,119
34,3.08,117
30,3.51,98
29,3.59,118
21,3.36,79
27,3.55,105
25,3.54,131
27,3.53,101
32,3.46,143
33,3.58,108
35,3.51,96
28,3.54,141
36,3.29,87
37,3.54,140
31,3.24,134
21,3.25,117
33,3.53,122
32,3.51,102
32,3.33,99
29,3.55,108
36,3.57,110
31,3.55,119
31,3.53,101
33,3.35,106
29,3.3,109
29,3.57,89
33,3.32,105
22,3.57,102
33,3.54,81
30,3.52,90
29,3.55,118
23,3.35,121
37,3.52,110
31,3.58,102
31,3.22,81
23,3.58,88
23,3.57,101
37,3.51,106
35,3.71,91
33.8,3.46,108
18,3.53,231
18,3.88,293
11,3.78,515
16,3.53,344
9,3.47,255
13,3.87,263
13,3.88,249
8,3.48,907
16,3.46,390
9,3.78,381
11,3.47,416
15,3.78,788
25,3.88,273
12,3.87,281
11,3.52,499
18,3.47,261
13,3.47,315
14,3.78,348
10,3.46,585
12,3.52,492
12,3.18,863
13,3.45,442
14,3.88,1217
16,3.78,253
14,3.48,748
7,3.56,741
17,3.54,344
7,3.77,1052
11,3.55,543
17,3.86,605
14,3.53,338
23,3.47,283
14,3.87,838
12,3.52,493
15,3.53,459
8,3.53,558
18,3.79,259
13,3.47,374
9,3.87,705
16,3.47,273
10,3.78,454
15,3.5,447
9,3.54,526
9,3.78,792
17,3.76,316
23,,466
16,3.78,971
12,3.11,318
18,3.77,312
27,3.76,338
14,3.51,514
10,3.76,293
19,3.78,247
16,3.77,477
11,3.77,916
11,3.87,296
12,3.77,700
7,3.77,381
12,3.53,658
18,3.48,321
15,3.86,515
17,3.77,547
14,3.51,649
13,3.47,384
20,3.47,825
12,3.53,640
7,3.54,478
14,3.87,430
17,3.51,421
10,3.88,385
23,3.47,275
10,3.54,713
11,3.55,700
18,3.54,644
21,3.82,421
